Date,Open,High,Low,Close,Adj Close,Volume
2024-05-01,157.580002,160.949997,156.000000,156.160004,156.160004,2752100
2024-05-02,157.210007,158.399994,153.199997,158.330002,158.330002,4778400
2024-05-03,161.809998,165.500000,159.149994,159.710007,159.710007,4529900
2024-05-06,161.000000,162.410004,160.169998,162.000000,162.000000,2912200
2024-05-07,161.809998,162.880005,159.750000,159.809998,159.809998,2916200
2024-05-08,157.100006,158.619995,155.839996,157.899994,157.899994,8236500
2024-05-09,146.600006,150.005005,145.570007,147.050003,147.050003,14802600
2024-05-10,147.750000,148.119995,144.630005,146.320007,146.320007,5524800
2024-05-13,147.050003,149.240005,145.699997,149.130005,149.130005,5647500
2024-05-14,149.399994,149.399994,146.309998,146.699997,146.699997,4167400
2024-05-15,147.570007,147.690002,144.750000,145.800003,145.800003,5996000
2024-05-16,146.339996,147.789993,145.850006,147.190002,147.190002,3827800
2024-05-17,146.809998,147.494995,145.304993,145.660004,145.660004,3279000
2024-05-20,146.179993,146.479996,145.210007,146.369995,146.369995,3747400
2024-05-21,145.710007,145.710007,144.089996,144.100006,144.100006,4485000
2024-05-22,143.940002,144.210007,142.360001,142.710007,142.710007,3190800
2024-05-23,142.580002,143.440002,140.820007,141.039993,141.039993,3900900
2024-05-24,142.500000,145.970001,142.300003,144.470001,144.470001,4497100
2024-05-28,146.000000,147.869995,145.110001,147.009995,147.009995,5741600
2024-05-29,144.880005,147.130005,144.733994,146.610001,146.610001,2570900
2024-05-30,145.399994,147.589996,144.410004,145.520004,145.520004,3576700
2024-05-31,145.779999,146.429993,142.570007,144.929993,144.929993,3778600
2024-06-03,145.740005,146.960007,144.360001,146.250000,146.250000,3843400
2024-06-04,145.820007,147.919998,145.440002,147.080002,147.080002,3048500
2024-06-05,147.979996,148.699997,145.141006,145.779999,145.779999,3121500
2024-06-06,145.509995,148.789993,145.154999,147.000000,147.000000,3463100
2024-06-07,146.199997,147.029999,145.380005,146.660004,146.660004,2595600
2024-06-10,146.009995,148.320007,146.000000,148.070007,148.070007,3080300
2024-06-11,147.970001,148.794998,146.479996,147.750000,147.750000,3285800
2024-06-12,149.990005,150.289993,148.621002,149.320007,149.320007,3579800
2024-06-13,148.990005,149.000000,143.729996,146.100006,146.100006,4450400
2024-06-14,145.500000,146.050003,144.279999,145.970001,145.970001,2754600
2024-06-17,147.000000,150.119995,146.774994,149.500000,149.500000,5158800
2024-06-18,149.899994,150.548996,146.899994,147.289993,147.289993,3316700
2024-06-20,147.770004,149.750000,147.600006,147.880005,147.880005,2874200
2024-06-21,148.759995,150.000000,147.250000,149.570007,149.570007,7648400
2024-06-24,149.149994,150.039993,146.710007,148.389999,148.389999,4530900
2024-06-25,148.970001,151.274994,148.850006,150.910004,150.910004,5008300
2024-06-26,149.729996,150.384995,149.369995,150.000000,150.000000,3797900
2024-06-27,150.460007,151.880005,149.389999,151.610001,151.610001,3588600
2024-06-28,151.539993,152.929993,150.679993,151.630005,151.630005,3842500
2024-07-01,152.199997,152.199997,149.139999,151.630005,151.630005,2905000
2024-07-02,151.289993,155.210007,151.289993,154.339996,154.339996,3526100
2024-07-03,153.910004,154.429993,152.300003,152.729996,152.729996,1725600
2024-07-05,152.399994,152.880005,151.440002,152.500000,152.500000,3836100
2024-07-08,152.649994,154.199997,150.755005,151.960007,151.960007,3228300
2024-07-09,152.919998,155.660004,151.964996,152.449997,152.449997,4328800
2024-07-10,153.110001,153.199997,150.089996,151.839996,151.839996,3263500
2024-07-11,150.550003,152.000000,144.130005,146.000000,146.000000,6289500
2024-07-12,146.830002,148.000000,146.190002,146.779999,146.779999,2923500
2024-07-15,145.880005,148.470001,144.750000,147.220001,147.220001,3546100
2024-07-16,148.470001,151.639999,147.880005,151.259995,151.259995,4079300
2024-07-17,149.240005,150.100006,147.259995,148.000000,148.000000,3242300
2024-07-18,148.169998,150.145004,146.750000,146.880005,146.880005,3593700
2024-07-19,147.029999,149.160004,147.029999,147.990005,147.990005,3131600
2024-07-22,148.139999,150.369995,146.550003,150.179993,150.179993,3672100
2024-07-23,150.559998,151.250000,147.830002,148.750000,148.750000,2676900
2024-07-24,146.729996,147.110001,142.979996,144.229996,144.229996,5461900
2024-07-25,141.250000,141.945007,137.580002,140.029999,140.029999,5626500
2024-07-26,141.899994,141.910004,139.029999,140.100006,140.100006,5101400
2024-07-29,141.240005,142.429993,140.000000,140.289993,140.289993,2723200
2024-07-30,140.649994,140.990005,137.899994,138.990005,138.990005,2996200
